run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-03-27T00:13:55Z,20260327T001355Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,20636090,26478207,1289.755625,1654.887937,165088.720000,211825.656000,165.088720,211.825656,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:13:55Z,20260327T001355Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,28376846,33795981,443.388219,528.062203,227014.768000,270367.848000,227.014768,270.367848,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:13:55Z,20260327T001355Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,59305477,63104962,231.662020,246.503758,474443.816000,504839.696000,474.443816,504.839696,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:13:55Z,20260327T001355Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,91500466,90184014,178.711848,176.140652,732003.728000,721472.112000,1464.007456,1442.944224,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:13:55Z,20260327T001355Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,16,16,200,135559565,129893366,165.477985,158.561238,1084476.520000,1039146.928000,5422.382600,5195.734640,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:13:55Z,20260327T001355Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,16,16,100,265691337,252571467,162.165123,154.157390,2125530.696000,2020571.736000,21255.306960,20205.717360,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:20:15Z,20260327T002015Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,20646753,26457629,1290.422063,1653.601813,165174.024000,211661.032000,165.174024,211.661032,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:20:15Z,20260327T002015Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,28385709,33779631,443.526703,527.806734,227085.672000,270237.048000,227.085672,270.237048,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:20:15Z,20260327T002015Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,59287037,63128210,231.589988,246.594570,474296.296000,505025.680000,474.296296,505.025680,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-03-27T00:20:15Z,20260327T002015Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,91494882,90178012,178.700941,176.128930,731959.056000,721424.096000,1463.918112,1442.848192,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
