run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-10T21:36:49Z,20260410T213649Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,16,16,16,1000,21425,20911,1.339063,1.306938,396.759259,387.240741,0.396759,0.387241,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-10T21:36:49Z,20260410T213649Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,16,16,16,1000,35152,31138,0.549250,0.486531,650.962963,576.629630,0.650963,0.576630,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-10T21:36:49Z,20260410T213649Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,16,16,16,1000,91079,72524,0.355777,0.283297,1686.648148,1343.037037,1.686648,1.343037,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-10T21:36:49Z,20260410T213649Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,16,16,16,500,155919,118403,0.304529,0.231256,2887.388889,2192.648148,5.774778,4.385296,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-10T21:36:49Z,20260410T213649Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,4096,32,16,16,16,200,238339,179351,0.290941,0.218934,4413.685185,3321.314815,22.068426,16.606574,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-10T21:36:49Z,20260410T213649Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16384,32,16,16,16,100,472663,353016,0.288491,0.215464,8753.018519,6537.333333,87.530185,65.373333,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-10T21:36:51Z,20260410T213651Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,16,16,16,1000,21402,21733,1.337625,1.358313,396.333333,402.462963,0.396333,0.402463,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-10T21:36:51Z,20260410T213651Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,16,16,16,1000,36636,32087,0.572438,0.501359,678.444444,594.203704,0.678444,0.594204,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-10T21:36:51Z,20260410T213651Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,16,16,16,1000,92106,72517,0.359789,0.283270,1705.666667,1342.907407,1.705667,1.342907,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-10T21:36:51Z,20260410T213651Z_ascon_aead128_rpi5_aarch64,ascon_aead128,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,16,16,16,500,155877,121360,0.304447,0.237031,2886.611111,2247.407407,5.773222,4.494815,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
